MatchID,PlayerName
202,Jack Harrison
203,Mohamed Salah
203,Mohamed Salah
203,Georginio Wijnaldum
203,Craig Dawson
204,Leandro Trossard
205,Billy Sharp
205,Matt Phillips
205,Jayden Bogle
206,Nicolas Pépé
206,Rúben Neves
206,João Moutinho
207,Aaron Wan-Bissaka
207,Marcus Rashford
207,Jan Bednarek
207,Edinson Cavani
207,Anthony Martial
207,Anthony Martial
207,Daniel James
207,Bruno Fernandes
207,Scott McTominay
208,Jonjo Shelvey
208,Jaïro Riedewald
208,Gary Cahill
209,Gabriel Jesus
209,Raheem Sterling
210,James Justin
210,Kelechi Iheanacho
211,Gylfi Sigurðsson
211,Dominic Calvert-Lewin
211,Raphael Dias Belloli
212,Tomáš Souček
212,Jesse Lingard
212,Jesse Lingard
212,Ollie Watkins
213,Steven Alzate
214,Jorginho
215,Ollie Watkins
216,Lewis Dunk
216,Jóhann Berg Guðmundsson
217,Miguel Almirón
217,Joe Willock
217,Takumi Minamino
217,James Ward-Prowse
217,Miguel Almirón
219,Edinson Cavani
219,Bruno Fernandes
219,Scott McTominay
219,Abdoulaye Doucouré
219,James Rodríguez
219,Dominic Calvert-Lewin
220,Harry Kane
220,Son Heung-min
222,Mohamed Salah
222,İlkay Gündoğan
222,İlkay Gündoğan
222,Raheem Sterling
222,Phil Foden
223,Mason Mount
223,Jorginho
223,Antonio Rüdiger
224,Jack Harrison
224,Patrick Bamford
225,Mohamed Salah
225,James Maddison
225,Harvey Barnes
225,Jamie Vardy
226,Jay Rodriguez
226,Jóhann Berg Guðmundsson
226,Matthew Lowton
227,İlkay Gündoğan
227,Rodri
227,İlkay Gündoğan
229,Danny Ings
229,Rúben Neves
229,Pedro Neto
230,Bruno Fernandes
230,Mbaye Diagne
231,Pierre-Emerick Aubameyang
231,Pierre-Emerick Aubameyang
231,Pierre-Emerick Aubameyang
231,Héctor Bellerín
231,Hélder Costa
231,Pascal Struijk
232,Josh Maja
232,Josh Maja
233,Declan Rice
233,Issa Diop
233,Ryan Fredericks
234,Olivier Giroud
234,Timo Werner
235,Ola Aina
235,Ashley Barnes
236,Phil Foden
236,Riyad Mahrez
236,Bernardo Silva
236,Richarlison
237,Illan Meslier
238,Takumi Minamino
238,Mason Mount
240,Richarlison
240,Gylfi Sigurðsson
241,Ademola Lookman
242,Michail Antonio
242,Jesse Lingard
242,Lucas Moura
243,Harvey Barnes
243,James Maddison
243,Bertrand Traoré
244,Raheem Sterling
245,Allan Saint-Maximin
245,Marcus Rashford
245,Daniel James
245,Bruno Fernandes
246,Jean-Philippe Mateta
246,Christian Benteke
246,Joël Veltman
247,Patrick Bamford
247,Raphael Dias Belloli
247,Stuart Dallas
248,Rúben Dias
248,John Stones
248,Michail Antonio
249,Kyle Bartley
250,Anwar El Ghazi
251,Jamaal Lascelles
251,Rúben Neves
253,Youri Tielemans
253,David Luiz
253,Nicolas Pépé
253,Alexandre Lacazette
254,Gareth Bale
254,Gareth Bale
254,Harry Kane
254,Lucas Moura
256,Curtis Jones
256,Joe Bryan
257,Richarlison
258,Leander Dendoncker
258,Conor Coady
258,Gabriel Jesus
258,Gabriel Jesus
258,Riyad Mahrez
259,Kelechi Iheanacho
259,Matěj Vydra
260,David McGoldrick
262,Tosin Adarabioyo
263,Richarlison
264,Mason Mount
265,Pierre-Emerick Aubameyang
265,Chris Wood
266,James Ward-Prowse
266,Che Adams
268,Adam Lallana
268,Kelechi Iheanacho
268,Daniel Amartey
270,Mario Lemina
271,Luke Shaw
271,Bruno Fernandes
272,Gareth Bale
272,Gareth Bale
272,Harry Kane
272,Harry Kane
272,Christian Benteke
273,Ben Godfrey
273,Jorginho
274,Jesse Lingard
274,Craig Dawson
275,Kevin De Bruyne
275,Kevin De Bruyne
275,Riyad Mahrez
275,Riyad Mahrez
275,İlkay Gündoğan
275,Che Adams
275,James Ward-Prowse
276,Jamaal Lascelles
276,Ciaran Clark
278,Luka Milivojević
279,Chris Wood
279,Dwight McNeil
279,Dominic Calvert-Lewin
280,John Stones
280,Gabriel Jesus
280,Sergio Agüero
281,Lewis Dunk
281,Leandro Trossard
281,Che Adams
282,Kelechi Iheanacho
282,Kelechi Iheanacho
282,Kelechi Iheanacho
282,Ayoze Pérez
282,Ethan Ampadu
283,Alexandre Lacazette
283,Martin Ødegaard
283,Érik Lamela
284,Craig Dawson
285,Diogo Jota
286,Patrick Bamford
286,Raphael Dias Belloli
286,Joachim Andersen
287,Leandro Trossard
287,Neal Maupay
287,Danny Welbeck
288,Jesse Lingard
288,Tomáš Souček
288,Jarrod Bowen
288,Tomáš Souček
288,Craig Dawson
288,Alexandre Lacazette
289,Harry Kane
289,Carlos Vinícius
290,Matheus Pereira
290,Matheus Pereira
290,Callum Robinson
290,Callum Robinson
290,Mbaye Diagne
290,Christian Pulisic
290,Mason Mount
291,Jack Harrison
291,Ben Osborn
291,Phil Jagielka
292,Benjamin Mendy
292,Gabriel Jesus
293,Diogo Jota
293,Diogo Jota
293,Mohamed Salah
294,Stuart Armstrong
294,Danny Ings
294,Nathan Redmond
294,Matěj Vydra
294,Chris Wood
295,Joelinton
295,Joe Willock
295,Harry Kane
295,Harry Kane
296,Ollie Watkins
296,Trézéguet
296,Trézéguet
296,Aleksandar Mitrović
297,Danny Welbeck
297,Marcus Rashford
297,Mason Greenwood
298,James Rodríguez
298,Michy Batshuayi
299,Jesse Lingard
299,Pablo Fornals
299,Jarrod Bowen
299,Leander Dendoncker
299,Fábio Silva
300,Adama Traoré
301,Stuart Dallas
301,Stuart Dallas
301,Ferrán Torres
302,Mohamed Salah
302,Trent Alexander-Arnold
302,Ollie Watkins
303,Kai Havertz
303,Christian Pulisic
303,Christian Pulisic
303,Kurt Zouma
303,Christian Benteke
304,Matěj Vydra
304,Jacob Murphy
304,Allan Saint-Maximin
305,Jesse Lingard
305,Jesse Lingard
305,Jarrod Bowen
305,Kelechi Iheanacho
305,Kelechi Iheanacho
306,Son Heung-min
306,Fred
306,Edinson Cavani
306,Mason Greenwood
307,Alexandre Lacazette
307,Alexandre Lacazette
307,Martinelli
308,Matheus Pereira
308,Callum Robinson
308,Matt Phillips
310,Gylfi Sigurðsson
310,Gylfi Sigurðsson
310,Harry Kane
310,Harry Kane
311,Issa Diop
311,Issa Diop
311,Jesse Lingard
311,Joe Willock
311,Joelinton
312,Willian José
313,Josh Maja
313,Eddie Nketiah
314,Mason Greenwood
314,Mason Greenwood
314,Edinson Cavani
314,James Tarkowski
315,Sadio Mané
315,Diego Llorente
317,Gareth Bale
317,Son Heung-min
317,Danny Ings
318,John McGinn
318,Phil Foden
318,Rodri
319,Jamie Vardy
319,Jonny Evans
319,Kelechi Iheanacho
320,Bernd Leno
321,Mohamed Salah
321,Joe Willock
322,Timo Werner
323,David McGoldrick
324,Chris Wood
324,Chris Wood
324,Chris Wood
324,Ashley Westwood
326,Anwar El Ghazi
326,Keinan Davis
326,Tyrone Mings
326,Matheus Pereira
327,Wilfried Zaha
327,Timothy Castagne
327,Kelechi Iheanacho
328,James Ward-Prowse
328,Jonny Evans
329,Ferrán Torres
329,Sergio Agüero
330,Pascal Groß
330,Danny Welbeck
331,Kai Havertz
331,Kai Havertz
332,Ollie Watkins
332,Anwar El Ghazi
332,Dominic Calvert-Lewin
333,Mohamed Elneny
333,Pierre-Emerick Aubameyang
334,Gareth Bale
334,Gareth Bale
334,Gareth Bale
334,Son Heung-min
335,Fábio Silva
335,Mbaye Diagne
336,Chris Wood
336,Michail Antonio
336,Michail Antonio
337,Joe Willock
337,Callum Wilson
337,Callum Wilson
337,Paul Dummett
337,Marc Albrighton
337,Kelechi Iheanacho
338,Stuart Dallas
338,Rodrigo
338,Patrick Bamford
338,Son Heung-min
339,Christian Benteke
339,Eberechi Eze
340,Raheem Sterling
340,Hakim Ziyech
340,Marcos Alonso
341,Sadio Mané
341,Thiago Alcántara
342,Adama Traoré
342,Morgan Gibbs-White
342,Lewis Dunk
343,Bertrand Traoré
343,Bruno Fernandes
343,Mason Greenwood
343,Edinson Cavani
344,Dominic Calvert-Lewin
345,Nicolas Pépé
345,Emile Smith-Rowe
345,Willian
345,Matheus Pereira
346,Ashley Westwood
346,Chris Wood
347,Luke Thomas
347,Çağlar Söyüncü
347,Mason Greenwood
348,Christian Benteke
348,Danny Ings
348,Che Adams
348,Danny Ings
349,Emile Smith-Rowe
351,Bruno Fernandes
351,Marcus Rashford
351,Diogo Jota
351,Mohamed Salah
351,Roberto Firmino
351,Roberto Firmino
352,Emil Krafth
352,Joe Willock
352,Joelinton
352,João Cancelo
352,Ferrán Torres
352,Ferrán Torres
352,Ferrán Torres
353,Mateusz Klich
353,Rodrigo
353,Rodrigo
353,Jack Harrison
354,Che Adams
354,Nathan Tella
354,Theo Walcott
354,Fabio Carvalho
355,Danny Welbeck
355,Saïd Benrahma
356,Christian Benteke
356,Wilfried Zaha
356,Tyrick Mitchell
356,John McGinn
356,Anwar El Ghazi
357,Harry Kane
357,Pierre Højbjerg
358,Hal Robson-Kanu
358,Alisson
358,Mohamed Salah
359,Daniel Jebbison
360,Patrick Bamford
360,Tyler Roberts
361,Edinson Cavani
361,Joe Bryan
362,İlkay Gündoğan
362,Phil Foden
362,Leandro Trossard
362,Dan Burn
362,Adam Webster
363,Antonio Rüdiger
363,Jorginho
363,Kelechi Iheanacho
364,Richarlison
365,Joe Willock
366,Steven Bergwijn
366,Ollie Watkins
366,Sergio Reguilón
367,Christian Benteke
367,Nicolas Pépé
367,Nicolas Pépé
367,Martinelli
368,Roberto Firmino
368,Nathaniel Phillips
368,Alex Oxlade-Chamberlain
369,Matheus Pereira
369,Tomáš Souček
369,Angelo Ogbonna
369,Michail Antonio
370,Nicolas Pépé
370,Nicolas Pépé
371,Ben Chilwell
371,Anwar El Ghazi
371,Bertrand Traoré
372,Fabian Schär
372,Joe Willock
373,Hal Robson-Kanu
373,Patrick Bamford
373,Kalvin Phillips
373,Rodrigo
374,Kasper Schmeichel
374,Gareth Bale
374,Harry Kane
374,Gareth Bale
374,Jamie Vardy
374,Jamie Vardy
375,Sadio Mané
375,Sadio Mané
376,Sergio Agüero
376,Sergio Agüero
376,Phil Foden
376,Gabriel Jesus
376,Kevin De Bruyne
377,David McGoldrick
378,Declan Rice
378,Pablo Fornals
378,Pablo Fornals
379,Anthony Elanga
379,Juan Mata
379,Nélson Semedo
